random_id,gender,year_of_birth,month_of_birth,date_today,birth_date,age
155528,Female,1961,December,2020-09-07,1961-12-01,58.80821917808219
183904,Male,1971,December,2020-09-07,1971-12-01,48.8027397260274
222503,Male,1986,December,2020-09-07,1986-12-01,33.79178082191781
231542,Female,1979,April,2020-09-07,1979-4-01,41.465753424657535
243040,Female,1969,May,2020-09-07,1969-5-01,51.38904109589041
294337,Male,1979,September,2020-09-07,1979-9-01,41.04657534246575
457608,Female,1982,December,2020-09-07,1982-12-01,37.794520547945204
616008,Female,1987,April,2020-09-07,1987-4-01,33.46027397260274
633438,Male,1950,April,2020-09-07,1950-4-01,70.48493150684932
791267,Male,1963,December,2020-09-07,1963-12-01,56.80821917808219
838605,Male,1981,July,2020-09-07,1981-7-01,39.21369863013699
